Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Unit,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
"5301","'143","Central Asia","230142","Food price inflation, median","6121","Value","7004","April","%",,"22.273938","18.059698","10.702301","3.373640","6.468339","12.766112","4.576461","27.767454","8.726531","1.210909","21.790068","0.719948","7.603686","6.736752","6.879968","4.113273","12.303839","3.914262","8.910406","13.202095","9.323151","12.797521","11.265849",
"5301","'143","Central Asia","230142","Food price inflation, median","6121","Value","7005","May","%",,"22.313706","20.743924","8.798572","1.593432","9.785929","9.316489","5.773700","30.158122","6.219703","0.293337","22.947786","0.482989","7.349721","7.298526","6.653868","3.484997","14.324247","2.626281","9.907429","13.042363","9.096343","13.318444","9.492901",
"5301","'143","Central Asia","230142","Food price inflation, median","6121","Value","7006","June","%",,"22.840771","19.598422","8.082943","2.053796","10.639905","8.913754","6.671627","32.728031","3.777216","1.162332","22.079899","0.326042","7.731161","8.052874","4.929425","4.406858","15.237721","1.837331","10.493311","11.504844","10.595085","14.431564","8.336391",
"5301","'143","Central Asia","230142","Food price inflation, median","6121","Value","7007","July","%",,"22.771893","18.642415","6.021738","2.820895","9.512831","11.166523","6.959683","35.714305","0.740551","3.542963","21.564146","0.102040","6.712287","8.590831","3.642859","5.336728","16.346736","1.519212","11.322264","10.387806","11.458664","14.832449","7.668590",
"5301","'143","Central Asia","230142","Food price inflation, median","6121","Value","7008","August","%",,"19.622901","19.913223","2.038263","5.908443","8.515997","11.142667","10.315084","34.247738","-1.450574","7.052573","19.355969","1.362914","5.129674","8.194782","3.573160","5.651222","15.225544","2.911671","11.463389","9.461659","11.295020","14.625047","8.480224",
"5301","'143","Central Asia","230142","Food price inflation, median","6121","Value","7009","September","%",,"19.616012","20.104837","-0.168122","7.451713","8.417963","10.642331","15.519001","27.803977","-1.946167","11.650029","14.962839","2.574555","4.144649","7.935939","4.301612","6.177006","12.645288","5.118505","10.299274","9.185988","11.053952","15.290566","8.619346",
"5301","'143","Central Asia","230142","Food price inflation, median","6121","Value","7010","October","%",,"16.203143","17.754768","2.993550","5.195895","8.984804","9.303941","23.343406","19.456353","-2.467406","14.098216","12.339876","4.854923","2.417589","8.405004","5.672392","5.060311","12.532705","4.997449","9.691174","10.937692","10.123538","14.880223","7.712223",
"5301","'143","Central Asia","230142","Food price inflation, median","6121","Value","7011","November","%",,"13.335113","15.941855","5.122998","4.165454","9.351434","8.782818","25.196773","16.276965","-2.208543","15.504412","11.175533","4.928126","2.435142","8.614760","5.816382","5.420042","12.065204","4.818417","10.037046","12.031869","9.164096","15.169588","6.368614",
"5301","'143","Central Asia","230142","Food price inflation, median","6121","Value","7012","December","%",,"14.956455","15.539802","5.163545","3.820156","10.084738","8.292262","23.618383","15.485182","-1.254822","16.137721","10.046193","5.370092","3.373089","8.099609","4.405931","8.049866","10.408107","4.896563","10.263108","12.089293","8.776741","15.541688","6.138916",
"5301","'143","Central Asia","230141","Food price inflation, weighted average","6121","Value","7001","January","%",,"15.888458","14.374292","14.320688","5.497742","6.603646","10.177041","7.508739","21.755665","9.930594","4.760112","12.472343","7.509467","6.556743","4.506271","8.466816","8.725907","8.668539","12.542883","8.524053","12.003977","13.300343","11.118782","20.525816","8.171934"
"5301","'143","Central Asia","230141","Food price inflation, weighted average","6121","Value","7002","February","%",,"16.323667","14.681442","13.658343","5.001773","7.059022","11.561418","6.137433","22.018406","9.115180","5.726251","13.083009","6.318711","6.440809","5.121255","7.519251","9.394278","9.482732","11.541244","9.371756","11.379417","13.051297","11.170082","20.873721","7.481366"
"5301","'143","Central Asia","230141","Food price inflation, weighted average","6121","Value","7003","March","%",,"17.365493","14.025573","13.391031","4.552043","7.682535","11.443022","5.962578","22.352236","8.813460","6.310348","12.972060","5.781034","6.260326","5.931771","6.569775","9.403187","10.231887","11.386029","9.648702","12.205614","12.134641","14.828383","17.290608","6.827432"
"5301","'143","Central Asia","230141","Food price inflation, weighted average","6121","Value","7004","April","%",,"18.495017","14.321745","12.291241","3.874566","8.361316","11.295943","5.911531","23.139239","8.580213","6.239505","13.024506","5.121252","6.248127","6.560880","5.868329","9.120051","10.921313","10.895170","10.227543","14.149649","11.281563","15.728185","15.388263",
"5301","'143","Central Asia","230141","Food price inflation, weighted average","6121","Value","7005","May","%",,"18.559308","15.932534","9.834258","3.590439","9.584628","9.946962","6.627214","23.931573","7.956867","5.997678","12.925207","4.841793","6.302397","7.001353","5.158029","9.261483","11.868891","9.878248","10.972531","13.881527","11.476671","16.562986","14.286091",
"5301","'143","Central Asia","230141","Food price inflation, weighted average","6121","Value","7006","June","%",,"17.314444","16.515356","9.088697","4.255217","10.125578","9.424891","7.483938","25.268484","6.433637","6.089282","13.136497","4.657601","6.299522","7.347093","4.281606","10.129625","12.384221","8.516529","11.111459","14.144950","12.502943","17.722806","12.135357",
"5301","'143","Central Asia","230141","Food price inflation, weighted average","6121","Value","7007","July","%",,"17.095398","16.178838","7.882421","5.287553","10.019085","10.052238","7.849274","25.172513","5.587879","6.544777","13.257499","4.552142","5.915139","7.171992","4.195374","10.754475","12.341736","7.614516","11.900268","14.101112","12.956701","17.950382","11.647824",
"5301","'143","Central Asia","230141","Food price inflation, weighted average","6121","Value","7008","August","%",,"16.489152","15.374555","6.561488","6.850119","8.971097","9.605638","9.676337","24.147377","5.185557","6.917357","13.145573","4.604251","5.700421","7.052319","4.082775","10.644765","12.388846","7.943463","12.963331","12.947549","13.319494","18.526671","11.081466",
"5301","'143","Central Asia","230141","Food price inflation, weighted average","6121","Value","7009","September","%",,"16.101409","15.630870","5.512374","7.729934","8.473032","8.773154","13.334150","20.655607","4.747189","7.697491","12.346456","5.323721","5.216361","7.371061","4.368210","10.244573","11.958991","9.236385","12.220484","13.280176","12.846365","19.302049","10.798428",
"5301","'143","Central Asia","230141","Food price inflation, weighted average","6121","Value","7010","October","%",,"15.537545","14.388079","6.468463","7.616128","8.210681","7.987976","18.843888","15.286956","4.282631","9.023868","11.128390","5.933070","4.734991","7.687956","6.939934","7.742615","12.284612","9.025168","12.766133","13.271559","12.507663","19.338572","10.200224",
