Country,Year,adult_obesity,teen_obesity,child_obesity,child_stunting,Food_Price_Inflation
Senegal,2022,10.2071399689,2.52083992958,3.40000009537,17,14.9698535
Republic of Serbia,2022,22.5079193115,10.9384298325,9.89999961853,4.59999990463,18.696990916666667
Seychelles,2022,29.3616905212,18.1059207916,9.10000038147,7.19999980927,4.274646
Sierra Leone,2022,7.13001012802,2.51030993462,5.19999980927,26,30.113589916666665
Singapore,2022,13.8766298294,15.9699802399,3.79999995232,3,5.292823416666667
Slovakia,2022,26.8242492676,9.70154953003,5.5,12.9500002861,18.529263916666668
Slovenia,2022,19.4418106079,10.8351297379,5.5,12.9500002861,12.222883833333334
Solomon Islands,2022,22.6023807526,8.86487960815,5.5,29.7999992371,9.181149416666667
Somalia,2022,14.6138296127,3.59506011009,2.70000004768,18,13.942110333333334
South Africa,2022,30.8197097778,7.08179998398,12.1000003815,22.7999992371,9.2504165
South Sudan,2022,8.60383033752,5.47846984863,4.69999980927,27.8999996185,-8.804562833333334
Spain,2022,15.6691303253,10.4831199646,5.5,12.9500002861,11.607155833333334
Sri Lanka,2022,10.5636396408,7.66847991943,1.29999995232,15.8999996185,59.82508166666666
Sudan,2022,17.0049991608,6.41488981247,2.70000004768,36,102.75699066666667
Suriname,2022,29.0150299072,18.1552696228,3.79999995232,7.59999990463,52.97392816666667
Sweden,2022,15.2670097351,10.118060112,5.5,12.9500002861,11.291867666666667
Switzerland,2022,12.111410141,6.96459007263,5.5,12.9500002861,1.6610229166666668
Tajikistan,2022,23.7931499481,1.56247997284,3,13.1000003815,7.316026
Thailand,2022,15.3846101761,12.2607498169,8.60000038147,11.8000001907,6.909554166666667
East Timor,2022,2.35034990311,0.874830007553,1.29999995232,45.0999984741,7.669795833333334
Togo,2022,11.5609903336,2.97712993622,2.20000004768,22.2999992371,12.480951333333334
Tonga,2022,71.6501235962,32.5173797607,10.8999996185,1.79999995232,9.8679555
Trinidad and Tobago,2022,28.0527801514,19.6943702698,13.8999996185,8.80000019073,10.32895075
Tunisia,2022,26.8322296143,10.7476396561,19,8.60000038147,10.841560333333334
Turkey,2022,33.3008308411,11.7330598831,8.10000038147,5.5,85.20673641666667
Uganda,2022,7.90456008911,4.6195101738,3.5,23.3999996185,13.45169125
Ukraine,2022,23.6347904205,4.54885005951,13.6000003815,12.3000001907,26.4382495
United Arab Emirates,2022,32.0792198181,21.3950996399,5.5,12.9500002861,7.190246
United Kingdom,2022,26.8202495575,11.3142595291,11.3000001907,12.9500002861,10.894987416666666
United Republic of Tanzania,2022,12.5832500458,1.75291001797,4.59999990463,30.6000003815,7.311962083333333
United States of America,2022,41.9867210388,20.6007995605,7.90000009537,3.59999990463,11.414773416666666
Uruguay,2022,33.343788147,17.7493896484,11.5,6.09999990463,11.04412525
Uzbekistan,2022,30.0284500122,6.39665985107,4.19999980927,6.90000009537,15.027798083333334
Vanuatu,2022,21.2806396484,12.5438203812,5.09999990463,31.3999996185,8.595241833333333
Venezuela,2022,22.7159194946,14.9249801636,6.90000009537,10.5,196.9232985
Vietnam,2022,2.01573991776,6.31383991241,8.10000038147,19.2999992371,2.57032625
Zambia,2022,11.0785503387,5.16785001755,5.40000009537,31.3999996185,13.18690775
Zimbabwe,2022,14.2107801437,2.45717000961,2.70000004768,21.6000003815,144.82083483333332
World Median,2022,22.55515003205,9.41422986984,5.5,12.9500002861,11.449380416666667
